"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
61;"L11,L22";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"56n";;;
62;"C97,C46";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"8.2p";;;
63;"IC4";"QFN50P400X400X100-21N-D";1;"C8051F330-GM";;;
64;"IC3";"HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm_ThermalVias";1;"PN5321A3HN_C106,55";;;
65;"IC2,IC6";"QFN50P400X400X100-21N-D";2;"CC1101RGPR";;;
66;"Y3";"XTAL_7M-27.120MAAJ-T";1;"27.12M";;;
67;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
68;"R5,R8,R11,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"5k1";;;
69;"C77,C116";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1.2p";;;
70;"C98,C95";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"3.3n";;;
71;"C43,C33,C42,C34";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"22p";;;
72;"Q7";"SOT-23";1;"MMBT5551L";;;
73;"D4";"LED_D3.0mm_IRBlack";1;"IR204A";;;
74;"L8,L21,L3";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"2.7n";;;
75;"R32";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.69K";;;
76;"Q2";"SOT-23";1;"DMN2058U";;;
77;"C49,C78,C79,C74,C81";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"1.5p";;;
78;"FL2,FL1";"B0310J50100AHF";2;"B0310J50100AHF";;;
79;"U3";"SOT-23-5";1;"TLV70036_SOT23-5";;;
80;"JSTPH1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Battery Plug";;;
81;"TP5,TP2";"TestPoint_Pad_D1.0mm";2;"TGND";;;
82;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"150";;;
83;"J3";"GCT_MEM2061-01-188-00-A_REVA";1;"MEM2061-01-188-00-A_REVA";;;
