"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
75;"USB_UART1,USB_OTG1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";2;"USB_C_Receptacle_USB2.0_16P";;;
76;"U16";"SOIC127P600X175-8N";1;"LM358";;;
77;"U15,U14,U13,U11";"Infineon_PG-TSNP-6-10_0.7x1.1mm_0.7x1.1mm_P0.4mm";4;"BGS12WN6E6327XTSA1";;;
78;"U12";"RFX2401C_SKY";1;"RFX2401C";;;
79;"U10";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"nRF24L01P";;;
80;"U9";"ESP32-S3-WROOM-1U_EXP";1;"ESP32-S3-WROOM-1U-N16R2";;;
81;"U8";"SOIC-16_3.9x9.9mm_P1.27mm";1;"4050";;;
82;"U7";"Diodes_UDFN-10_1.0x2.5mm_P0.5mm";1;"ESD7104MUTAG";;;
83;"U6";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
84;"U5";"Vishay_MINICAST-3Pin";1;"TSOP382xx";;;
85;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
86;"U3";"SOT-23-5";1;"TLV70036_SOT23-5";;;
87;"U2";"SOT-666";1;"USBLC6-2P6";;;
88;"U1";"SOT-23-5";1;"MCP73831-2-OT";;;
89;"TP7";"TestPoint_Pad_D1.0mm";1;"RX";;;
90;"TP6";"TestPoint_Pad_D1.0mm";1;"TX2_POST";;;
91;"TP5,TP2";"TestPoint_Pad_D1.0mm";2;"TGND";;;
92;"TP4";"TestPoint_Pad_D1.0mm";1;"TX1_POST";;;
93;"TP3";"TestPoint_Pad_D1.0mm";1;"TX2_PRE";;;
94;"TP1";"TestPoint_Pad_D1.0mm";1;"TX1_PRE";;;
95;"RESET1,BOOT1";"SW_SPST_PTS810";2;"~";;;
96;"Q7";"SOT-23";1;"MMBT5551L";;;
97;"Q6";"TSOT-23_HandSoldering";1;"Q_PNP_BEC";;;
98;"Q5";"TSOT-23_HandSoldering";1;"Q_NPN_BEC";;;
99;"Q4";"SOT-223-3_TabPin2";1;"PZT3904";;;
100;"Q3";"SOT-363_SC-70-6";1;"UMH3N";;;
101;"Q2";"SOT-23";1;"DMN2058U";;;
102;"Q1";"SOT95P240X105-3N";1;"DMG3415U";;;
103;"L1";"L_Changjiang_FNR5045S";1;"1u";;;
104;"JSTPH1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Battery Plug";;;
105;"J17,J16";"U.FL_Molex_MCRF_73412-0110_Vertical";2;"Wi-Fi_ANT_Coax";;;
106;"J15,J14,J13";"U.FL_Molex_MCRF_73412-0110_Vertical";3;"CC1101B_Coax";;;
107;"J12";"PinSocket_1x02_P2.54mm_Horizontal";1;"RDM630_ANT_CONN";;;
108;"J11,J8,J7";"U.FL_Molex_MCRF_73412-0110_Vertical";3;"NRF24_Coax";;;
109;"J10,J9,J6";"U.FL_Molex_MCRF_73412-0110_Vertical";3;"CC1101A_Coax";;;
110;"J5";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"PN532_Antenna_Coax";;;
111;"J4,J2";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
112;"J3";"GCT_MEM2061-01-188-00-A_REVA";1;"MEM2061-01-188-00-A_REVA";;;
113;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
114;"IC7,IC5";"SOT95P284X110-6N";2;"DG2001EDV-T1-GE3";;;
115;"IC6,IC2";"QFN50P400X400X100-21N-D";2;"CC1101RGPR";;;
116;"IC4";"QFN50P400X400X100-21N-D";1;"C8051F330-GM";;;
117;"IC3";"HVQFN-40-1EP_6x6mm_P0.5mm_EP4.1x4.1mm_ThermalVias";1;"PN5321A3HN_C106,55";;;
118;"IC1";"SOTFL50P160X60-6N";1;"TPS61023DRLT";;;
119;"FL2,FL1";"B0310J50100AHF";2;"B0310J50100AHF";;;
120;"FB4,FB2";"BEADC2012X145N";2;"FerriteBead";;;
121;"FB3";"BEADC2012X145N";1;"FerriteBead_Small";;;
122;"FB1";"L_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"BLM21PG221";;;
123;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse 1A";;;
124;"D4";"LED_D3.0mm_IRBlack";1;"IR204A";;;
125;"D1";"D_SOD-523";1;"1N4148WT";;;
126;"CR1";"SDO_SOD-123FL498_OSI";1;"MBR120";;;
127;"AE7";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Antenna_Wi-Fi_TBAR";;;
128;"AE4";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Antenna_NRF24_IPEX";;;
129;"AE3";"XDCR_ANT-433-HESM";1;"Antenna_CC1101A_PCB";;;
