"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C21,C111,C109,C108,C107,C102,C93,C92,C91,C88,C87,C85,C83,C72,C70,C68,C67,C66,C65,C60,C59,C58,C55,C52,C44,C40,C39,C32,C25,C24,C20,C19,C17,C12,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";35;"0.1u";;;
2;"PWR_SW1";"PWR-SW";1;"734-7296";;;
3;"SCREEN1";"4.0_TFT_Display";1;"~";;;
4;"R58,R56,R55,R54,R50,R45,R44,R41,R40";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"1k";;;
5;"R57,R52,R49,R48,R31";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"1M";;;
6;"R53,R51,R39,R38";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"0";;;
7;"R47,R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"56K";;;
8;"R46";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10R";;;
9;"R43,R23,R16,R15,R4,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10K";;;
10;"R42,R30,R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"330";;;
11;"R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20K";;;
12;"R36,R35,R34";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1K";;;
13;"R32";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.69K";;;
14;"R29,R28";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1.5";;;
15;"R27,R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"NC";;;
16;"R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22k";;;
17;"R24,R14,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1.5K";;;
18;"R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"50";;;
19;"R20,R12,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100k";;;
20;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"732k";;;
21;"R18,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22R";;;
22;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
23;"R11,R9,R8,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"5k1";;;
24;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22";;;
25;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"150";;;
26;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.7K";;;
27;"L26,L17";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"2.2n";;;
28;"L25,L16";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"~";;;
29;"L24,L13";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"6.8n";;;
30;"L23,L12";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3.3n";;;
31;"L22,L11";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"56n";;;
32;"L21,L8,L3";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"2.7n";;;
33;"L20,L19,L18,L7,L5,L4";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"0";;;
34;"L15,L14";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"2.4n";;;
35;"L10,L9";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"560n";;;
36;"L6";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3.9n";;;
37;"L2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"8.2n";;;
38;"D8,D7,D6";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"D";;;
39;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"SD_ACT_LED";;;
40;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Power_LED";;;
41;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Charging_LED";;;
42;"C119,C118,C115,C110,C100,C99,C98,C95,C84,C82,C80,C71,C54,C53,C45";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"~";;;
43;"C117,C104,C94";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7u";;;
44;"C116,C86,C75,C64,C56,C50,C41,C22,C18,C11,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";11;"10u";;;
45;"C114,C14,C10,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100n";;;
46;"C113,C77";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1.2p";;;
47;"C112,C101";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1n";;;
48;"C106,C105,C63,C62,C31,C30";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100p";;;
49;"C103,C61";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.6p";;;
50;"C97";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"3.3n";;;
51;"C96,C46";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"8.2p";;;
52;"C90,C89,C27,C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"9p";;;
53;"C81,C79,C78,C74,C49";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"1.5p";;;
54;"C76,C73";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"33p";;;
55;"C69";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.3p";;;
56;"C57";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1000p";;;
57;"C51";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1p";;;
58;"C48";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7p";;;
59;"C47";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2n";;;
60;"C43,C42,C34,C33";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"22p";;;
61;"C38,C35,C29,C28";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"NC";;;
62;"C37,C36";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220p";;;
63;"C23";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"33n";;;
64;"C16,C15,C13,C8,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"22u";;;
65;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4u7";;;
66;"C5,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
67;"AE8";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_Wi-Fi_SMA";;;
68;"AE5";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_CC1101B_SMA";;;
69;"AE2";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_NRF24_SMA";;;
70;"AE1";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_CC1101A_SMA";;;
71;"AE6";"XDCR_ANT-433-HESM";1;"Antenna_CC1101B_PCB";;;
72;"Y4,Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";2;"26MHz";;;
73;"Y3";"XTAL_7M-27.120MAAJ-T";1;"27.12M";;;
74;"Y2";"XTAL_7M-27.120MAAJ-T";1;"16M";;;
